date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:56:27	13367/13367	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226734ace9-3437%22	https://vectorbt.pro/pvt_1606a55a/assets/images/documentation/bblocks/analyzing.dark.svg	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/assets/images/documentation/bblocks/analyzing.dark.svg	(from https://vectorbt.pro/pvt_1606a55a/documentation/building-blocks/)
18:56:27	158843/158843	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-26c7b%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/ndl/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/ndl/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2023/)
18:56:28	174912/174912	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-2ab40%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/parquet/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/parquet/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2023/)
18:56:28	164442/164442	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-2825a%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/feather/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/feather/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2023/)
18:56:29	226716/226716	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-3759c%22	https://vectorbt.pro/pvt_1606a55a/api/indicators/custom/sigdet/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/indicators/custom/sigdet/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2023/)
18:56:29	168854/168854	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-29396%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/csv/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/csv/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2023/)
18:56:29	10543/10543	---M-Z	200	added ('OK')	text/plain	etag:W/%226734ace9-292f%22	https://vectorbt.pro/pvt_1606a55a/assets/jupytext/documentation/building-blocks.py.txt	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/assets/jupytext/documentation/building-blocks.py.txt	(from https://vectorbt.pro/pvt_1606a55a/documentation/building-blocks/)
18:56:30	117275/117275	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-1ca1b%22	https://vectorbt.pro/pvt_1606a55a/api/generic/splitting/decorators/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/generic/splitting/decorators/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2023/)
18:56:30	160552/160552	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-27328%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/yf/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/yf/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2023/)
18:56:30	165394/165394	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-28612%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/file/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/file/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2023/)
18:56:31	151056/151056	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-24e10%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/remote/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/remote/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2023/)
18:56:31	158535/158535	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-26b47%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/random/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/random/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2023/)
18:56:31	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2025%20Nov%202024%2021:56:30%20GMT	https://vectorbt.pro/pvt_1606a55a/documentation/building-blocks	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/documentation/building-blocks	(from https://vectorbt.pro/pvt_1606a55a/documentation/indicators/)
18:56:31	158758/158758	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-26c26%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/gbm_ohlc/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/gbm_ohlc/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2023/)
18:56:31	136337/136337	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-21491%22	https://vectorbt.pro/pvt_1606a55a/api/base/resampling/base/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/base/resampling/base/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2023/)
18:56:32	5940/5940	---M-Z	200	added ('OK')	text/plain	etag:W/%226734ace9-1734%22	https://vectorbt.pro/pvt_1606a55a/assets/jupytext/documentation/indicators/index.py.txt	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/assets/jupytext/documentation/indicators/index.py.txt	(from https://vectorbt.pro/pvt_1606a55a/documentation/indicators/)
18:56:32	168570/168570	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-2927a%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/polygon/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/polygon/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
